zip,lat,lon,radius_km
90001,33.97366,-118.24904,3.64
90002,33.94899,-118.24678,3.57
90003,33.96408,-118.27368,3.73
90004,34.07622,-118.31096,3.59
90005,34.05937,-118.30896,2.99
90006,34.04809,-118.29404,3.26
90007,34.02817,-118.28483,3.42
90008,34.01072,-118.34288,3.54
90010,34.06099,-118.29988,2.57
90011,34.00709,-118.25868,3.88
90012,34.06598,-118.23864,3.73
90013,34.04469,-118.24002,2.76
90014,34.04301,-118.2519,2.5
90015,34.03931,-118.26626,3.18
90016,34.02833,-118.35434,3.72
90017,34.0531,-118.2645,2.76
90018,34.02863,-118.31735,3.57
90019,34.04984,-118.33846,3.79
90020,34.06638,-118.30983,2.96
90021,34.02904,-118.23787,3.28
90022,34.02373,-118.15627,3.91
90023,34.0225,-118.19961,3.89
90024,34.06565,-118.43528,3.57
90025,34.04542,-118.44587,3.45
90026,34.07899,-118.2638,3.82
90027,34.1276,-118.29638,4.59
90028,34.09981,-118.32684,3.12
90029,34.08987,-118.29463,3.07
90031,34.0842,-118.20857,3.7
90032,34.07829,-118.18578,3.99
90033,34.05038,-118.21199,3.64
90034,34.03058,-118.39961,3.6
90035,34.05143,-118.38577,3.37
90036,34.07029,-118.34919,3.42
90037,34.00266,-118.28751,3.54
90038,34.08802,-118.32717,3.13
90039,34.11189,-118.26103,3.73
90040,33.99452,-118.14995,4.14
90041,34.13741,-118.20761,3.72
90042,34.11471,-118.1921,3.93
90043,33.98851,-118.33636,3.84
90044,33.95265,-118.29201,4.05
90045,33.94239,-118.41606,4.98
90046,34.10781,-118.36225,4.16
90047,33.95543,-118.30957,3.97
90048,34.07288,-118.37265,3.25
90049,34.09254,-118.49106,5.51
90052,33.9783,-118.25891,2.34
90056,33.99358,-118.36884,3.36
90057,34.06173,-118.27676,2.85
90058,34.00284,-118.2164,4.18
90059,33.92747,-118.2488,3.61
90061,33.92128,-118.27419,3.5
90062,34.00349,-118.30909,3.25
90063,34.04525,-118.18578,3.65
90064,34.03531,-118.42649,3.75
90065,34.10959,-118.22869,4.13
90066,34.00203,-118.43066,3.99
90067,34.05644,-118.41369,2.6
90068,34.12418,-118.32735,4.57
90069,34.09395,-118.38153,3.33
